0312-15-54-13-550-Epo_100-Bs_128-sgd-Lr_0.1-decay0.0005-Mom_0.9-Max_100-NormF-T_16.00-multi_proto_num_3-knn_epoch_50-alpha1_1-99.74,82.152,47.585,70.231,64.239,80.707,0312-15-54-13-550 
0312-22-22-09-629-Epo_0-Bs_128-sgd-Lr_0.1-decay0.0005-Mom_0.9-Max_100-NormF-T_16.00-multi_proto_num_3-knn_epoch_2-alpha1_1.0-99.284,80.129,75.936,67.675,85.437,78.584,0312-22-22-09-629 
0407-21-50-19-519-Epo_0-Bs_128-sgd-Lr_0.1-decay0.0005-Mom_0.9-Max_100-NormF-T_16.00-multi_proto_num_3-knn_epoch_2-alpha1_1.0-99.289,83.304,75.744,67.736,85.687,79.184,0407-21-50-19-519 
0410-22-52-55-997-Epo_0-Bs_128-sgd-Lr_0.1-decay0.0005-Mom_0.9-Max_100-NormF-T_16.00-multi_proto_num_3-knn_epoch_2-alpha1_1.0-99.284,79.897,74.507,67.039,84.377,77.98,0410-22-52-55-997 
